ID,NOMBRE,STATUS,ESPECIE,GENERO
1, Rick Sanchez, Alive, Human, Male
2, Morty Smith, Alive, Human, Male
3, Summer Smith, Alive, Human, Female
4, Beth Smith, Alive, Human, Female
5, Jerry Smith, Alive, Human, Male
6, Abadango Cluster Princess, Alive, Alien, Female
7, Abradolf Lincler, unknown, Human, Male
8, Adjudicator Rick, Dead, Human, Male
9, Agency Director, Dead, Human, Male
10, Alan Rails, Dead, Human, Male
11, Albert Einstein, Dead, Human, Male
12, Alexander, Dead, Human, Male
13, Alien Googah, unknown, Alien, unknown
14, Alien Morty, unknown, Alien, Male
15, Alien Rick, unknown, Alien, Male
16, Amish Cyborg, Dead, Alien, Male
17, Annie, Alive, Human, Female
18, Antenna Morty, Alive, Human, Male
19, Antenna Rick, unknown, Human, Male
20, Ants in my Eyes Johnson, unknown, Human, Male
